CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
books/sp/BBH2015;Health Monitoring and Personalized Feedback using Multimedia Data;?;?;?;Springer;2015;978-3-319-17962-9
books/sp/BG2014;Context in Computing - A Cross-Disciplinary Approach for Modeling the Real World;?;?;?;Springer;2014;978-1-4939-1886-7
books/sp/BGPP2015;Multimedia Data Mining and Analytics - Disruptive Innovation;?;?;?;Springer;2015;978-3-319-14997-4
books/sp/NPG2015;Social Media for Government Services;?;?;?;Springer;2015;978-3-319-27235-1
books/sp/THAZL2015;Big-Data Analytics and Cloud Computing - Theory Algorithms and Applications;Big-Data Analytics and Cloud Computing;?;?;Springer;2015;978-3-319-25311-4
conf/3dgis/2006;Innovations in 3D Geo Information Systems First International Workshop on 3D Geoinformation 7-8 August 2006 Kuala Lumpur Malaysia;3D-GIS;Lecture Notes in Geoinformation and Cartography;?;Springer;2006;978-3-540-36997-4
conf/3dic/2009;IEEE International Conference on 3D System Integration 3DIC 2009 San Francisco California USA 28-30 September 2009;03-dic;?;?;IEEE;2009;978-1-4244-4511-0
conf/3dic/2010;IEEE International Conference on 3D System Integration 3DIC 2010 Munich Germany 16-18 November 2010;03-dic;?;?;IEEE;2010;978-1-4577-0526-7
conf/3dic/2011;2011 IEEE International 3D Systems Integration Conference (3DIC) Osaka Japan January 31 - February 2 2012;03-dic;?;?;IEEE;2012;978-1-4673-2189-1
conf/3dic/2013;2013 IEEE International 3D Systems Integration Conference (3DIC) San Francisco CA USA October 2-4 2013;03-dic;?;?;IEEE;2013;?
conf/3dic/2014;2014 International 3D Systems Integration Conference 3DIC 2014 Kinsdale Ireland December 1-3 2014;03-dic;?;?;IEEE;2014;978-1-4799-8472-5
conf/3dic/2015;2015 International 3D Systems Integration Conference 3DIC 2015 Sendai Japan August 31 - September 2 2015;03-dic;?;?;IEEE;2015;978-1-4673-9385-0
conf/3dica/1997;Three-Dimensional Image Capture San Jose CA USA February 8 1997;Three-Dimensional Image Capture;SPIE Proceedings;3023;SPIE;1997;978-0-8194-2434-1
conf/3dica/1998;Proceedings of the Conference on Three-Dimensional Image Capture and Applications San Jose CA USA January 27-28 1998;Three-Dimensional Image Capture and Applications;SPIE Proceedings;3313;SPIE;1998;0-8194-2753-5
conf/3dica/1999;Proceedings of the Conference on Three-Dimensional Image Capture and Applications II San Jose CA USA January 25-26 1999;Three-Dimensional Image Capture and Applications;SPIE Proceedings;3640;SPIE;1999;0-8194-3111-7
conf/3dica/2000;Proceedings of the Conference on Three-Dimensional Image Capture and Applications III San Jose CA USA January 24-25 2000;Three-Dimensional Image Capture and Applications;SPIE Proceedings;3958;SPIE;2000;0-8194-3576-7
conf/3dica/2001;Proceedings of the Conference on Three-Dimensional Image Capture and Applications IV San Jose CA USA January 20 2001;Three-Dimensional Image Capture and Applications;SPIE Proceedings;4298;SPIE;2001;?
conf/3dica/2002;Proceedings of the Conference on Three-Dimensional Image Capture and Applications V San Jose CA USA January 19 2002;Three-Dimensional Image Capture and Applications;SPIE Proceedings;4661;SPIE;2002;?
conf/3dica/2004;Proceedings of the Conference on Three-Dimensional Image Capture and Applications VI San Jose CA USA January 18 2004;Three-Dimensional Image Capture and Applications;SPIE Proceedings;5302;SPIE;2004;?
conf/3dica/2006;Proceedings of the Conference on Three-Dimensional Image Capture and Applications VII San Jose CA USA January 15 2006;Three-Dimensional Image Capture and Applications;SPIE Proceedings;6056;SPIE;2006;?
conf/3dica/2008;Proceedings of the Conference on Three-Dimensional Image Capture and Applications 2008 San Jose CA USA January 28-29 2008;Three-Dimensional Image Capture and Applications;SPIE Proceedings;6805;SPIE;2008;978-0-8194-6977-9
conf/3dica/2010;Three-Dimensional Image Processing (3DIP) and Applications San Jose California USA January 18-19 2010;Three-Dimensional Image Processing (3DIP) and Applications;SPIE Proceedings;7526;SPIE;2010;978-0-8194-7919-8
conf/3dica/2011;Three-Dimensional Imaging Interaction and Measurement San Francisco Airport California USA January 24-27 2011;Three-Dimensional Imaging Interaction and Measurement;SPIE Proceedings;7864;SPIE;2011;978-0-8194-8401-7
conf/3dica/2012;Three-Dimensional Image Processing (3DIP) and Applications II Burlingame California USA January 22 2012;Three-Dimensional Image Processing (3DIP) and Applications;SPIE Proceedings;8290;SPIE;2012;978-0-8194-9423-8
conf/3dica/2013;Three-Dimensional Image Processing (3DIP) and Applications 2013 Burlingame California USA February 6-7 2013;Three-Dimensional Image Processing (3DIP) and Applications;SPIE Proceedings;8650;SPIE;2013;978-0-8194-9423-8
conf/3dica/2014;Three-Dimensional Image Processing Measurement (3DIPM) and Applications 2014 San Francisco California USA February 5 2014;Three-Dimensional Image Processing Measurement (3DIPM) and Applications;SPIE Proceedings;9013;SPIE;2014;978-0-8194-9930-1
conf/3dica/2015;Three-Dimensional Image Processing Measurement (3DIPM) and Applications 2015 San Francisco California USA February 10-12 2015;Three-Dimensional Image Processing Measurement (3DIPM) and Applications;SPIE Proceedings;9393;SPIE;2015;978-1-6284-1483-7
conf/3dica/2016;3D Image Processing Measurement (3DIPM) and Applications 2016 San Francisco California USA February 14-18 2016;3D Image Processing Measurement (3DIPM) and Applications;?;?;Ingenta;2016;?
conf/3dim/1997;International Conference on Recent Advances in 3-D Digital Imaging and Modeling (3DIM '97) May 12-15 1997 Ottawa Ontario Canada;3DIM;?;?;IEEE Computer Society;1997;0-8186-7943-3
conf/3dim/1999;2nd International Conference on 3D Digital Imaging and Modeling (3DIM '99) 4-8 October 1999 Ottawa Canada;3DIM;?;?;IEEE Computer Society;1999;0-7695-0062-5
conf/3dim/2001;3rd International Conference on 3D Digital Imaging and Modeling (3DIM 2001) 28 May - 1 June 2001 Quebec City Canada;3DIM;?;?;IEEE Computer Society;2001;0-7695-0984-3
conf/3dim/2003;4th International Conference on 3D Digital Imaging and Modeling (3DIM 2003) 6-10 October 2003 Banff Canada;3DIM;?;?;IEEE Computer Society;2003;0-7695-1991-1
conf/3dim/2005;Fifth International Conference on 3D Digital Imaging and Modeling (3DIM 2005) 13-16 June 2005 Ottawa Ontario Canada;3DIM;?;?;IEEE Computer Society;2005;0-7695-2327-7
conf/3dim/2007;Sixth International Conference on 3-D Digital Imaging and Modeling 3DIM 2007 21-23 August 2007 Montreal Quebec Canada;3DIM;?;?;IEEE Computer Society;2007;0-7695-2939-9
conf/3dim/2011;International Conference on 3D Imaging Modeling Processing Visualization and Transmission 3DIMPVT 2011 Hangzhou China 16-19 May 2011;3DIMPVT;?;?;IEEE Computer Society;2011;978-0-7695-4369-7
conf/3dim/2012;2012 Second International Conference on 3D Imaging Modeling Processing Visualization &amp Transmission Zurich Switzerland October 13-15 2012;3DIMPVT;?;?;IEEE Computer Society;2012;978-1-4673-4470-8
conf/3dim/2013;2013 International Conference on 3D Vision 3DV 2013 Seattle Washington USA June 29 - July 1 2013;3DV;?;?;IEEE Computer Society;2013;978-0-7695-5067-1
conf/3dim/2014;2nd International Conference on 3D Vision 3DV 2014 Tokyo Japan December 8-11 2014 Volume 1;3DV;?;?;IEEE Computer Society;2014;978-1-4799-7000-1
conf/3dim/2014-2;2nd International Conference on 3D Vision 3DV 2014 Tokyo Japan December 8-11 2014 Volume 2;3DV (Workshops);?;?;IEEE;2014;?
conf/3dim/2015;2015 International Conference on 3D Vision 3DV 2015 Lyon France October 19-22 2015;3DV;?;?;IEEE Computer Society;2015;978-1-4673-8332-5
conf/3dim/2016;Fourth International Conference on 3D Vision 3DV 2016 Stanford CA USA October 25-28 2016;3DV;?;?;IEEE Computer Society;2016;978-1-5090-5407-7
conf/3dor/2008;Eurographics Workshop on 3D Object Retrieval 3DOR 2008 Crete Greece 2008. Proceedings;3DOR;?;?;Eurographics Association;2008;978-3-905674-05-7
conf/3dor/2009;Eurographics Workshop on 3D Object Retrieval Munich Germany 2009. Proceedings;3DOR;?;?;Eurographics Association;2009;978-3-905674-16-3
conf/3dor/2010;Eurographics Workshop on 3D Object Retrieval Norrköping Sweden May 2 2010 Proceedings;3DOR;?;?;Eurographics Association;2010;978-3-905674-22-4
conf/3dor/2011;Eurographics Workshop on 3D Object Retrieval 2011 Llandudno UK April 10 2011. Proceedings;3DOR;?;?;Eurographics Association;2011;978-3-905674-31-6
conf/3dor/2012;Eurographics Workshop on 3D Object Retrieval 2012 Cagliari Italy May 13 2012. Proceedings;3DOR;?;?;Eurographics Association;2012;978-3-905674-36-1
conf/3dor/2013;Eurographics Workshop on 3D Object Retrieval Girona Spain 2013. Proceedings;3DOR;?;?;Eurographics Association;2013;978-3-905674-44-6
conf/3dor/2014;Eurographics Workshop on 3D Object Retrieval Strasbourg France 2014. Proceedings;3DOR;?;?;Eurographics Association;2014;978-3-905674-58-3
conf/3dor/2015;Eurographics Workshop on 3D Object Retrieval Zurich Switzerland May 2-3 2015.;3DOR;?;?;Eurographics Association;2015;?
conf/3dph/2009;Modelling the Physiological Human 3D Physiological Human Workshop 3DPH 2009 Zermatt Switzerland November 29 - December 2 2009. Proceedings;3DPH;Lecture Notes in Computer Science;5903;Springer;2009;978-3-642-10468-8
conf/3dpvt/2002;1st International Symposium on 3D Data Processing Visualization and Transmission (3DPVT 2002) 19-21 June 2002 Padova Italy;3DPVT;?;?;IEEE Computer Society;2002;0-7695-1521-5
conf/3dpvt/2004;2nd International Symposium on 3D Data Processing Visualization and Transmission (3DPVT 2004) 6-9 September 2004 Thessaloniki Greece;3DPVT;?;?;IEEE Computer Society;2004;0-7695-2223-8
conf/3dpvt/2006;3rd International Symposium on 3D Data Processing Visualization and Transmission (3DPVT 2006) 14-16 June 2006 Chapel Hill North Carolina USA;3DPVT;?;?;IEEE Computer Society;2006;978-0-7695-2825-0
conf/3dtv/2012;3DTV-Conference 2012: The True Vision - Capture Transmission and Display of 3D Video Zurich Switzerland October 15-17 2012;3DTV-Conference;?;?;IEEE;2012;978-1-4673-4904-8
conf/3dtv/2013;3DTV-Conference 2013: The True Vision - Capture Transmission and Display of 3D Video Aberdeen Scotland UK October 7-8 2013;3DTV-Conference;?;?;IEEE;2013;978-1-4799-1369-5
conf/3dtv/2014;3DTV-Conference 2014: The True Vision - Capture Transmission and Display of 3D Video Budapest Hungary July 2-4 2014;3DTV-Conference;?;?;IEEE;2014;978-1-4799-4758-4
conf/3dtv/2015;2015 3DTV-Conference: The True Vision - Capture Transmission and Display of 3D Video Lisbon Portugal July 8-10 2015;3DTV-Conference;?;?;IEEE;2015;978-1-4673-8090-4
conf/3dtv/2016;The True Vision - Capture Transmission and Display of 3D Video 3DTV-Conference 2016 Hamburg Germany July 4-6 2016;3DTV-Conference;?;?;IEEE;2016;978-1-5090-3313-3
conf/3dui/2006;IEEE Symposium on 3D User Interfaces 3DUI 2006 Alexandria Virginia USA 25-26 March 2006;3DUI;?;?;IEEE Computer Society;2006;1-4244-0225-5
conf/3dui/2007;IEEE Symposium on 3D User Interfaces 3DUI 2007 Charlotte North Carolina USA 10-11 March 2007;3DUI;?;?;IEEE Computer Society;2007;1-4244-0907-1
conf/3dui/2008;IEEE Symposium on 3D User Interfaces 3DUI 2008 Reno Nevada USA 8-9 March 2008;3DUI;?;?;IEEE Computer Society;2008;978-1-4244-2047-6
conf/3dui/2009;IEEE Symposium on 3D User Interfaces 3DUI 2009 Lafayette LA USA 14-15 March 2009;3DUI;?;?;IEEE Computer Society;2009;978-1-4244-3965-2
conf/3dui/2010;IEEE Symposium on 3D User Interfaces 3DUI 2010 Waltham MA USA 20-21 March 2010;3DUI;?;?;IEEE Computer Society;2010;978-1-4244-6846-1
conf/3dui/2011;IEEE Symposium on 3D User Interfaces 3DUI 2011 Singapore 19-20 March 2011;3DUI;?;?;IEEE Computer Society;2011;978-1-4577-0063-7
conf/3dui/2012;IEEE Symposium on 3D User Interfaces 2012 3DUI 2012 Costa Mesa CA USA March 4-5 2012;3DUI;?;?;IEEE Computer Society;2012;978-1-4673-1204-2
conf/3dui/2013;IEEE Symposium on 3D User Interfaces 3DUI 2013 Orlando FL USA March 16-17 2013;3DUI;?;?;IEEE Computer Society;2013;978-1-4673-6097-5
conf/3dui/2014;IEEE Symposium on 3D User Interfaces 3DUI 2014 Minneapolis MN USA March 29-30 2014;3DUI;?;?;IEEE;2014;978-1-4799-3624-3
conf/3dui/2015;2015 IEEE Symposium on 3D User Interfaces 3DUI 2015 Arles France March 23-24 2015;3DUI;?;?;IEEE Computer Society;2015;978-1-4673-6886-5
conf/3dui/2016;2016 IEEE Symposium on 3D User Interfaces 3DUI 2016 Greenville SC USA March 19-20 2016;3DUI;?;?;IEEE Computer Society;2016;978-1-5090-0842-1
conf/3dui/2017;2017 IEEE Symposium on 3D User Interfaces 3DUI 2017 Los Angeles CA USA March 18-19 2017;3DUI;?;?;IEEE Computer Society;2017;978-1-5090-6716-9
conf/3pgcic/2010;3PGCIC 2010 International Conference on P2P Parallel Grid Cloud and Internet Computing Fukuoka Institute of Technology Fukuoka Japan 4-6 November 2010;3PGCIC;?;?;IEEE Computer Society;2010;978-1-4244-8538-3
conf/3pgcic/2011;2011 International Conference on P2P Parallel Grid Cloud and Internet Computing 3PGCIC 2011 Barcelona Catalonia Spain October 26-28 2011;3PGCIC;?;?;IEEE Computer Society;2011;978-1-4577-1448-1
conf/3pgcic/2012;2012 Seventh International Conference on P2P Parallel Grid Cloud and Internet Computing 3PGCIC 2012 Victoria BC Canada November 12-14 2012;3PGCIC;?;?;IEEE;2012;978-1-4673-2991-0
conf/3pgcic/2013;Eighth International Conference on P2P Parallel Grid Cloud and Internet Computing 3PGCIC 2013 Compiegne France October 28-30 2013;3PGCIC;?;?;IEEE;2013;978-0-7695-5094-7
conf/3pgcic/2014;2014 Ninth International Conference on P2P Parallel Grid Cloud and Internet Computing Guangdong China November 8-10 2014;3PGCIC;?;?;IEEE Computer Society;2014;978-1-4799-4171-1
conf/3pgcic/2015;10th International Conference on P2P Parallel Grid Cloud and Internet Computing 3PGCIC 2015 Krakow Poland November 4-6 2015;3PGCIC;?;?;IEEE Computer Society;2015;978-1-4673-9473-4
conf/5gu/2014;1st International Conference on 5G for Ubiquitous Connectivity 5GU 2014 Levi Finland November 26-27 2014;5GU;?;?;ICST;2014;978-1-63190-055-6
conf/ACISicis/2005;4th Annual ACIS International Conference on Computer and Information Science (ICIS 2005) 14-16 July 2005 Jeju Island South Korea;ACIS-ICIS;?;?;IEEE Computer Society;2005;0-7695-2296-3
conf/ACISicis/2006;5th Annual IEEE/ACIS International Conference on Computer and Information Science (ICIS 2006) and 1st IEEE/ACIS International Workshop on Component-Based Software Engineering Software Architecture and Reuse (COMSAR 2006) 10-12 July 2006 Honolulu Hawaii USA;ACIS-ICIS;?;?;IEEE Computer Society;2006;0-7695-2613-6
conf/ACISicis/2007;6th Annual IEEE/ACIS International Conference on Computer and Information Science (ICIS 2007) 11-13 July 2007 Melbourne Australia;ACIS-ICIS;?;?;IEEE Computer Society;2007;0-7695-2841-4
conf/ACISicis/2008;7th IEEE/ACIS International Conference on Computer and Information Science IEEE/ACIS ICIS 2008 14-16 May 2008 Portland Oregon USA;ACIS-ICIS;?;?;IEEE Computer Society;2008;978-0-7695-3131-1
conf/ACISicis/2009;8th IEEE/ACIS International Conference on Computer and Information Science IEEE/ACIS ICIS 2009 June 1-3 2009 Shanghai China;ACIS-ICIS;?;?;IEEE Computer Society;2009;978-0-7695-3641-5
conf/ACISicis/2010;9th IEEE/ACIS International Conference on Computer and Information Science IEEE/ACIS ICIS 2010 18-20 August 2010 Yamagata Japan;ACIS-ICIS;?;?;IEEE Computer Society;2010;978-0-7695-4147-1
conf/ACISicis/2011;10th IEEE/ACIS International Conference on Computer and Information Science IEEE/ACIS ICIS 2011 16-18 May 2011 Sanya Hainan Island China;ACIS-ICIS;?;?;IEEE Computer Society;2011;978-0-7695-4401-4
conf/ACISicis/2012;2012 IEEE/ACIS 11th International Conference on Computer and Information Science Shanghai China May 30 - June 1 2012;ICIS;?;?;IEEE Computer Society;2012;978-1-4673-1536-4
conf/ACISicis/2013;2013 IEEE/ACIS 12th International Conference on Computer and Information Science ICIS 2013 Niigata Japan June 16-20 2013;ICIS;?;?;IEEE Computer Society;2013;978-1-4799-0174-6
conf/ACISicis/2014;2014 IEEE/ACIS 13th International Conference on Computer and Information Science ICIS 2014 Taiyuan China June 4-6 2014;ICIS;?;?;IEEE Computer Society;2014;978-1-4799-4860-4
conf/ACISicis/2015;14th IEEE/ACIS International Conference on Computer and Information Science ICIS 2015 Las Vegas NV USA June 28 - July 1 2015;ICIS;?;?;IEEE Computer Society;2015;978-1-4799-8679-8
conf/ACISicis/2016;15th IEEE/ACIS International Conference on Computer and Information Science ICIS 2016 Okayama Japan June 26-29 2016;ICIS;?;?;IEEE Computer Society;2016;978-1-5090-0806-3
conf/ACMace/2004;Proceedings of the 2004 ACM SIGCHI International Conference on Advances in Computer Entertainment Technology 2004 Singapore June 3-5 2004;Advances in Computer Entertainment Technology;?;?;ACM;2004;1-58113-882-2
conf/ACMace/2005;Proceedings of the International Conference on Advances in Computer Entertainment Technology ACE 2005 Valencia Spain June 15-15 2005;Advances in Computer Entertainment Technology;?;?;ACM;2005;1-59593-110-4
conf/ACMace/2006;Proceedings of the International Conference on Advances in Computer Entertainment Technology ACE 2006 Hollywood California USA June 14-16 2006;Advances in Computer Entertainment Technology;?;?;ACM;2006;1-59593-380-8
conf/ACMace/2007;Proceedings of the International Conference on Advances in Computer Entertainment Technology ACE 2007 Salzburg Austria June 13-15 2007;Advances in Computer Entertainment Technology;ACM International Conference Proceeding Series;203;ACM;2007;978-1-59593-640-0
conf/ACMace/2008;Proceedings of the International Conference on Advances in Computer Entertainment Technology ACE 2008 Yokohama Japan December 3-5 2008;Advances in Computer Entertainment Technology;ACM International Conference Proceeding Series;352;ACM;2008;978-1-60558-393-8
conf/ACMace/2009;Proceedings of the International Conference on Advances in Computer Entertainment Technology ACE 2009 Athens Greece October 29-31 2009;Advances in Computer Entertainment Technology;ACM International Conference Proceeding Series;422;ACM;2009;978-1-60558-864-3
conf/ACMace/2010;Proceedings of the 7th International Conference on Advances in Computer Entertainment Technology ACE 2010 Taipei Taiwan November 17-19 2010;Advances in Computer Entertainment Technology;?;?;ACM;2010;978-1-60558-863-6
conf/ACMace/2011;Proceedings of the 8th International Conference on Advances in Computer Entertainment Technology ACE 2011 Lisbon Portugal November 8-11 2011;Advances in Computer Entertainment Technology;?;?;ACM;2011;978-1-4503-0827-4
conf/ACMace/2012;Advances in Computer Entertainment - 9th International Conference ACE 2012 Kathmandu Nepal November 3-5 2012. Proceedings;Advances in Computer Entertainment;Lecture Notes in Computer Science;7624;Springer;2012;978-3-642-34291-2
conf/ACMace/2013;Advances in Computer Entertainment - 10th International Conference ACE 2013 Boekelo The Netherlands November 12-15 2013. Proceedings;Advances in Computer Entertainment;Lecture Notes in Computer Science;8253;Springer;2013;978-3-319-03160-6
conf/ACMace/2014;Proceedings of the 11th Conference on Advances in Computer Entertainment Technology ACE '14 Funchal Madeira Portugal November 11-14 2014;Advances in Computer Entertainment;?;?;ACM;2014;978-1-4503-2945-3
conf/ACMace/2014w;Proceedings of the 2014 Workshops on Advances in Computer Entertainment Conference Funchal Portugal November 11-14 2014;Advances in Computer Entertainment (Workshops);?;?;ACM;2014;978-1-4503-3314-6
conf/ACMace/2015;Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology ACE 2015 Iskandar Malaysia November 16-19 2015;ACE;?;?;ACM;2015;978-1-4503-3852-3
conf/ACMace/2016;Proceedings of the 13th International Conference on Advances in Computer Entertainment Technology ACE 2016 Osaka Japan November 9-12 2016;ACE;?;?;ACM;2016;978-1-4503-4773-0
conf/ACMdis/1995;Proceedings of the 1st Conference on Designing Interactive Systems: Processes Practices Methods and Techniques DIS '95 Ann Arbor MI USA August 23-25 1995;DIS;?;?;ACM;1995;0-89791-673-5
conf/ACMdis/1997;Proceedings of the 2nd Conference on Designing Interactive Systems: Processes Practices Methods and Techniques DIS 1997 Grand Hotel Krasnapolsky Amsterdam the Netherlands August 18-20 1997;DIS;?;?;ACM;1997;0-89791-863-0
conf/ACMdis/2000;Proceedings of the 3rd Conference on Designing Interactive Systems: Processes Practices Methods Techniques DIS 2000 New York City NY USA August 17-19 2000;DIS;?;?;ACM;2000;1-58113-219-0
conf/ACMdis/2002;Proceedings of the 4th Conference on Designing Interactive Systems: Processes Practices Methods and Techniques DIS 2002 London England June 25-28 2002;DIS;?;?;ACM;2002;1-58113-515-7
conf/ACMdis/2004;Proceedings of the Conference on Designing Interactive Systems: Processes Practices Methods and Techniques Cambridge MA USA August 1-4 2004;Conference on Designing Interactive Systems;?;?;ACM;2004;1-58113-787-7
conf/ACMdis/2006;Proceedings of the Conference on Designing Interactive SystemsUniversity Park PA USA June 26-28 2006;Conference on Designing Interactive Systems;?;?;ACM;2006;1-59593-367-0
conf/ACMdis/2008;Proceedings of the Conference on Designing Interactive Systems Cape Town South Africa February 25-27 2008;Conference on Designing Interactive Systems;?;?;ACM;2008;978-1-60558-002-9
conf/ACMdis/2010;Proceedings of the Conference on Designing Interactive Systems Aarhus Denmark August 16-20 2010;Conference on Designing Interactive Systems;?;?;ACM;2010;978-1-4503-0103-9
conf/ACMdis/2012;Designing Interactive Systems Conference 2012 DIS '12 Newcastle Upon Tyne United Kingdom June 11-15 2012;Conference on Designing Interactive Systems;?;?;ACM;2012;978-1-4503-1210-3
conf/ACMdis/2014;Designing Interactive Systems Conference 2014 DIS '14 Vancouver BC Canada June 21-25 2014;Conference on Designing Interactive Systems;?;?;ACM;2014;978-1-4503-2902-6
conf/ACMdis/2014c;Companion Publication of the 2014 ACM SIGCHI Conference on Designing Interactive Systems Conference DIS '14 Vancouver BC Canada June 21-25 2014;Conference on Designing Interactive Systems (Companion Volume);?;?;ACM;2014;978-1-4503-2903-3
conf/ACMdis/2016;Proceedings of the 2016 ACM Conference on Designing Interactive Systems DIS '16 Brisbane QLD Australia June 04 - 08 2016;Conference on Designing Interactive Systems;?;?;ACM;2016;978-1-4503-4031-1
conf/ACMdis/2016c;Companion Publication of the 2014 ACM Conference on Designing Interactive Systems DIS '16 Brisbane QLD Australia June 04 - 08 2016;Conference on Designing Interactive Systems (Companion Volume);?;?;ACM;2016;978-1-4503-4315-2
conf/ACMicec/2003;Proceedings of the 5th International Conference on Electronic Commerce ICEC 2003 Pittsburgh Pennsylvania USA September 30 - October 03 2003;ICEC;ACM International Conference Proceeding Series;50;ACM;2003;1-58113-788-5
conf/ACMicec/2004;Proceedings of the 6th International Conference on Electronic Commerce ICEC 2004 Delft The Netherlands October 25-27 2004;ICEC;ACM International Conference Proceeding Series;60;ACM;2004;1-58113-930-6
conf/ACMicec/2005;Proceedings of the 7th International Conference on Electronic Commerce ICEC 2005 Xi'an China August 15-17 2005;ICEC;ACM International Conference Proceeding Series;113;ACM;2005;1-59593-112-0
conf/ACMicec/2006;Proceedings of the 8th International Conference on Electronic Commerce: The new e-commerce - Innovations for Conquering Current Barriers Obstacles and Limitations to Conducting Successful Business on the Internet 2006 Fredericton New Brunswick Canada August 13-16 2006;ICEC;ACM International Conference Proceeding Series;156;ACM;2006;1-59593-392-1
conf/ACMicec/2007;Proceedings of the 9th International Conference on Electronic Commerce: The Wireless World of Electronic Commerce 2007 University of Minnesota Minneapolis MN USA August 19-22 2007;ICEC;ACM International Conference Proceeding Series;258;ACM;2007;978-1-59593-700-1
conf/ACMicec/2008;Proceedings of the 10th International Conference on Electronic Commerce 2008 Innsbruck Austria August 19-22 2008;ICEC;ACM International Conference Proceeding Series;342;ACM;2008;978-1-60558-075-3
conf/ACMicec/2009;Proceedings of the 11th International Conference on Electronic Commerce 2009 Taipei Taiwan August 12-15 2009;ICEC;?;?;ACM;2009;978-1-60558-586-4
conf/ACMicec/2012;Fourteenth International Conference on Electronic Commerce ICEC '12 Singapore August 7-8 2012;ICEC;?;?;ACM;2012;978-1-4503-1197-7
conf/ACMicec/2013lnbip;Co-created Effective Agile and Trusted eServices - 15th International Conference on Electronic Commerce ICEC 2013 Turku Finland August 13-15 2013. Proceedings;ICEC (Selected Papers);Lecture Notes in Business Information Processing;155;Springer;2013;978-3-642-39807-0
conf/ACMicec/2014;Sixteenth International Conference on Electronic Commerce ICEC '14 Philadelphia PA USA August 5-6 2014;ICEC;?;?;ACM;2014;978-1-4503-2618-6
conf/ACMicec/2015;Proceedings of the 17th International Conference on Electronic Commerce 2015 Seoul Republic of Korea August 3-5 2015;ICEC;?;?;ACM;2015;978-1-4503-3461-7
conf/ACMicec/2016;Proceedings of the 18th Annual International Conference on Electronic Commerce - e-Commerce in Smart connected World ICEC '16 Suwon Republic of Korea August 17-19 2016;ICEC;?;?;ACM;2016;978-1-4503-4222-3
conf/ACMmsp/2004;Proceedings of the 2004 workshop on Memory System Performance Washington DC USA June 8 2004;Memory System Performance;?;?;ACM;2004;1-58113-941-1
conf/ACMmsp/2005;Proceedings of the 2005 workshop on Memory System Performance Chicago Illinois USA June 12 2005;Memory System Performance;?;?;ACM;2005;1-59593-147-3
conf/ACMmsp/2006;Proceedings of the 2006 workshop on Memory System Performance and Correctness San Jose California USA October 11 2006;Memory System Performance and Correctness;?;?;ACM;2006;1-59593-578-9
conf/ACMpolicy/1998;ACM Policy 1998 The ethics and social impact component on Shaping policy in the information age Washington DC USA May 10-12 1998 Proceedings;ACM Policy;?;?;ACM;1998;1-58113-038-4
conf/ACMse/1979;Proceedings of the 17th Annual Southeast Regional Conference 1979 Orlando Florida USA April 9-11 1979;ACM Southeast Regional Conference;?;?;ACM;1979;?
conf/ACMse/1980;Proceedings of the 18th Annual Southeast Regional Conference 1980 Tallahassee Florida USA March 24-26 1980;ACM Southeast Regional Conference;?;?;ACM;1980;0-89791-014-1
conf/ACMse/1982;Proceedings of the 20th Annual Southeast Regional Conference 1982 Knoxville Tennessee USA April 1-3 1982;ACM Southeast Regional Conference;?;?;ACM;1982;0-89791-071-0
conf/ACMse/1990;Proceedings of the 28th Annual Southeast Regional Conference 1990 Greenville South Carolina USA April 18-20 1990;ACM Southeast Regional Conference;?;?;ACM;1990;0-89791-356-6
conf/ACMse/1992;Proceedings of the 30th Annual Southeast Regional Conference 1992 Raleigh North Carolina USA April 8-10 1992;ACM Southeast Regional Conference;?;?;ACM;1992;0-89791-506-2
conf/ACMse/1995;Proceedings of the 33th Annual Southeast Regional Conference 1995 Clemson South Carolina USA March 17-18 1995;ACM Southeast Regional Conference;?;?;ACM;1995;?
conf/ACMse/1997;Proceedings of the 35th Annual Southeast Regional Conference Murfreesboro Tennessee USA April 2-4 1997;ACM Southeast Regional Conference;?;?;ACM;1997;0-89791-925-4
conf/ACMse/2000;Proceedings of the 38th Annual Southeast Regional Conference 2000 Clemson South Carolina USA April 7-8 2000;ACM Southeast Regional Conference;?;?;ACM;2000;1-58113-250-6
conf/ACMse/2004;Proceedings of the 42nd Annual Southeast Regional Conference 2004 Huntsville Alabama USA April 2-3 2004;ACM Southeast Regional Conference;?;?;ACM;2004;1-58113-870-9
conf/ACMse/2005-1;Proceedings of the 43nd Annual Southeast Regional Conference 2005 Kennesaw Georgia Alabama USA March 18-20 2005 Volume 1;ACM Southeast Regional Conference (1);?;?;ACM;2005;1-59593-059-0
conf/ACMse/2005-2;Proceedings of the 43nd Annual Southeast Regional Conference 2005 Kennesaw Georgia Alabama USA March 18-20 2005 Volume 2;ACM Southeast Regional Conference (2);?;?;ACM;2005;?
conf/ACMse/2006;Proceedings of the 44st Annual Southeast Regional Conference 2006 Melbourne Florida USA March 10-12 2006;ACM Southeast Regional Conference;?;?;ACM;2006;1-59593-315-8
conf/ACMse/2007;Proceedings of the 45th Annual Southeast Regional Conference 2007 Winston-Salem North Carolina USA March 23-24 2007;ACM Southeast Regional Conference;?;?;ACM;2007;978-1-59593-629-5
